name, latitude, longitude, rank, score, private, religious, catholic, type
Victoria Primary School,53.799935,-1.501975,0.033175,43.000000,FALSE,FALSE,FALSE,Primary
Ingram Road Primary School,53.784219,-1.563844,0.028436,42.000000,FALSE,FALSE,FALSE,Primary
Woodlands Primary School,53.811784,-1.505514,0.023697,41.000000,FALSE,FALSE,FALSE,Primary
Aberford Church of England Voluntary Controlled Primary School,53.826455,-1.345268,0.018957,41.000000,FALSE,TRUE,FALSE,Primary
Hillcrest Primary School,53.815030,-1.529303,0.014218,38.000000,FALSE,FALSE,FALSE,Primary
Cottingley Primary School,53.768594,-1.585725,0.009479,38.000000,FALSE,FALSE,FALSE,Primary
Clapgate Primary School,53.751662,-1.520125,0.004739,32.000000,FALSE,FALSE,FALSE,Primary
Richmond Hill Primary School,53.792368,-1.518177,0.000000,31.000000,FALSE,FALSE,FALSE,Primary
The Grammar School At Leeds,53.865055,-1.519957,1.000000,99.000000,TRUE,FALSE,FALSE,Secondary
Gateways School,53.899189,-1.510202,0.976744,87.000000,TRUE,FALSE,FALSE,Secondary
St Marys Catholic Comprehensive School,-33.765997,150.774133,0.953488,86.000000,FALSE,TRUE,TRUE,Secondary
Woodhouse Grove School,53.840143,-1.700381,0.930233,83.000000,TRUE,FALSE,FALSE,Secondary
Garforth Academy,53.787160,-1.391353,0.906977,75.000000,FALSE,FALSE,FALSE,Secondary
The Farnley Academy,53.783689,-1.620005,0.883721,73.000000,FALSE,FALSE,FALSE,Secondary
Horsforth School,53.842175,-1.640993,0.860465,71.000000,FALSE,FALSE,FALSE,Secondary
Abbey Grange Church of England Academy,53.834418,-1.611386,0.837209,70.000000,FALSE,TRUE,FALSE,Secondary
Woodkirk Academy,53.729453,-1.585584,0.813953,69.000000,FALSE,FALSE,FALSE,Secondary
Wetherby High School,53.929838,-1.380454,0.790698,69.000000,FALSE,FALSE,FALSE,Secondary
Guiseley School,53.871206,-1.717707,0.767442,69.000000,FALSE,FALSE,FALSE,Secondary
